Samsung Galaxy A30,,
,Data,"
GPRS, EDGE, 3G HSPA, 4G LTE-A                                                 "
Features,Sensors,"Accelerometer, Compass, Fingerprint (rear mounted), Gyro, Proximity                                                     "
,Audio,"
                                                3.5mm Audio Jack, MP3/WAV/WMA/eAAC+/FLAC player, MP4/WMV/H.265 player, Speaker Phone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS(threaded view), MMS, Email, Push Mail, IM                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Active noise cancellation with dedicated mic, ANT+ support, Photo/video editor, Document viewer                                                 "
Battery,Capacity,"(Li-Po Non removable), 4000 mAh                                                     "
,Talktime,"
                                                up to 23 hrs                                                 "
,,"
                                                 - Fast battery charging 15W
                                                 "
Samsung Galaxy A70,,
Build,OS,Android 9.0 (Pie)                                                     
,UI,"
                                                One UI                                                 "
,Dimensions,"
                                                164.2 x 76.7 x 7.9 mm                                                 "
,Weight,"
                                                183 g                                                 "
,SIM,"
                                                Dual Sim, Dual Standby (Nano-SIM)                                                 "
,Colors,"
                                                Coral, Blue, Black, White                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)                                                 "
Processor,CPU,Octa-core (2 x 2.0 GHz Kryo 460 Gold + 6 x 1.7 GHz Kryo 460 Silver)                                                     
,Chipset,"
                                                Qualcomm SDM675 Snapdragon 675 (11 nm)                                                 "
,GPU,"
                                                Adreno 612                                                 "
Display,Technology,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch                                                     "
,Size,"
                                                6.7 Inches                                                 "
,Resolution,"
                                                1080 x 2400 Pixels (~393 PPI)                                                 "
Memory,Built-in,"128GB Built-in, 6GB RAM                                                     "
,Card,"
                                                microSD card (supports up to 512GB) (dedicated slot)                                                 "
Camera,Main,"Triple Camera: 32 MP, f/1.7, PDAF + 8 MP, f/2.2, 12mm (ultrawide) + 5 MP, f/2.2, depth sensor, LED Flash                                                     "
,Features,"
                                                Geo-tagging, touch focus, face detection, panorama, HDR, Video (2160p@30fps, 1080p@30/240fps)                                                 "
,Front,"
                                                32 MP, f/2.0, HDR, Video (1080p@30fps)                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE                                                 "
,GPS,"
                                                Yes + A-GPS support & Glonass, BDS, GALILEO, BDS                                                 "
,Radio,"
                                                FM Radio                                                 "
,USB,"
                                                2.0, Type-C 1.0 reversible connector                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G LTE-A                                                 "
Features,Sensors,"Accelerometer, gyro, proximity, compass, Fingerprint (under Display)                                                     "
,Audio,"
                                                3.5mm Audio Jack, MP3/WAV/WMA/eAAC+/FLAC player, MP4/WMV/H.265 player, Speaker Phone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS(threaded view), MMS, Email, Push Mail, IM                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Active noise cancellation with dedicated mic, ANT+ support, Photo/video editor, Document viewer                                                 "
Battery,Capacity,"(Li-Po Non removable), 4500 mAh                                                     "
,,"
                                                 - Fast battery charging 25W
                                                 "
Samsung Galaxy A50,,
Build,OS,Android 9.0 (Pie)                                                     
,UI,"
                                                One UI                                                 "
,Dimensions,"
                                                158.5 x 74.7 x 7.7 mm                                                 "
,Weight,"
                                                166 g                                                 "
,SIM,"
                                                Dual Sim, Dual Standby (Nano-SIM)                                                 "
,Colors,"
                                                Black, White, Blue, Coral                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)                                                 "
Processor,CPU,Octa-core (4 x 2.3GHz cortex A-73+ 4 x 1.7GHz Cortex-A53)                                                     
,Chipset,"
                                                Exynos 9610 Octa (10nm)                                                 "
,GPU,"
                                                Mali-G72 MP3                                                 "
Display,Technology,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch                                                     "
,Size,"
                                                6.4 Inches                                                 "
,Resolution,"
                                                1080 x 2340 Pixels (~403 PPI)                                                 "
,Protection,"
                                                Corning Gorilla Glass 3                                                 "
Memory,Built-in,"128GB Built-in, 4GB RAM                                                     "
,Card,"
                                                microSD card (supports up to 512GB) (dedicated slot)                                                 "
Camera,Main,"Triple camera: 25 MP, f/1.7, PDAF + 8 MP, f/2.4, (ultrawide) + 5 MP, f/2.2, depth sensor, autofocus,  LED flash                                                     "
,Features,"
                                                Geo-tagging, touch focus, face detection, panorama, HDR, Video (1080p@30fps)                                                 "
,Front,"
                                                25 MP, HDR, Video (1080p@30fps)                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE                                                 "
,GPS,"
                                                Yes + A-GPS support & Glonass, BDS, GALILEO                                                 "
,Radio,"
                                                FM Radio                                                 "
,USB,"
                                                2.0, Type-C 1.0 reversible connector                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS, EDGE, 3G HSPA, 4G LTE-A                                                 "
Features,Sensors,"Accelerometer, gyro, proximity, compass, Fingerprint (under display)                                                     "
,Audio,"
                                                3.5mm Audio Jack, MP3/WAV/WMA/eAAC+/FLAC player, MP4/WMV/H.265 player, Speaker Phone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS(threaded view), MMS, Email, Push Mail, IM                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Front glass, plastic body, Samsung Pay, Dolby Atmos sound, Active noise cancellation with dedicated mic, ANT+ support, Photo/video editor, Document viewer                                                 "
Battery,Capacity,"(Li-Po Non removable), 4000 mAh                                                     "
,Talktime,"
                                                up to 23 hrs                                                 "
,,"
                                                 - Fast battery charging 15W
                                                 "
LG Nexus 5,,
Build,OS,"Android OS, v5.0 (Lolipop), upgradable to v5.1.1 (Lollipop)                                                     "
,Dimensions,"
                                                137.9 x 69.2 x 8.6 mm                                                 "
,Weight,"
                                                130 g                                                 "
,SIM,"
                                                Micro-SIM                                                 "
,Colors,"
                                                Black, White, Red                                                 "
Frequency,2G Band,GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1700 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE 800 / 850 / 900 / 1800 / 2100 / 2600                                                 "
Processor,CPU,2.3 GHz Quad-Core Krait                                                     
,Chipset,"
                                                Qualcomm MSM8974 Snapdragon 800                                                 "
,GPU,"
                                                 Adreno 330                                                 "
Display,Technology,"True HD IPS Plus capacitive touchscreen, 16M colors, Multi-touch                                                     "
,Size,"
                                                4.9 inches                                                 "
,Resolution,"
                                                1080 x 1920 pixels (~445 ppi pixel density)                                                 "
,Protection,"
                                                Corning Gorilla Glass 3                                                 "
Memory,Built-in,"16/32GB built-in, 2GB RAM                                                     "
,Card,"
                                                No                                                 "
Camera,Main,"8MP, 3264 x 2448 pixels, autofocus, LED flash                                                     "
,Features,"
                                                optical image, Geo-tagging, face detection, touch focus, photo sphere, image stabilization, Video (30fps)                                                 "
,Front,"
                                                1.3 MP                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi hotspot                                                     "
,Bluetooth,"
                                                v4.0 with A2DP                                                 "
,GPS,"
                                                Yes + A-GPS support & Glonass                                                 "
,Radio,"
                                                No                                                 "
,USB,"
                                                microUSB v2.0 (SlimPort)                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS class 12, EDGE class 12, 3G (HSPA 42.2/5.76 Mbps) 4G LTE                                                 "
Features,Sensors,"Accelerometer, gyro, proximity, compass, barometer                                                     "
,Audio,"
                                                3.5mm audio jack, Speakerphone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS, MMS, Email, Push Email                                                 "
,Games,"
                                                built-in                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                SNS integration, Document viewer , Voice memo, Wireless charging, organizer Predictive text input, Image/video editor, Active noise cancellation with dedicated mic, , Speakerphone                                                 "
Battery,Capacity,2300 mAh                                                     
,Standby,"
                                                Up to 300 hrs                                                 "
,Talktime,"
                                                Up to 17 hrs                                                 "
Samsung Galaxy J6,,
Samsung Galaxy Note 8,,
Apple iPhone X,,
Build,OS,IOS 11                                                     
,Dimensions,"
                                                143.6 x 70.9 x 7.7 mm                                                 "
,Weight,"
                                                174 g                                                 "
,SIM,"
                                                Single SIM (Nano-SIM)                                                 "
,Colors,"
                                                Space Gray, Silver                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100)                                                  "
Processor,CPU,Hexa Core (2 x Monsoon + 4 x Mistral)                                                     
,Chipset,"
                                                Apple A11 Bionic                                                 "
,GPU,"
                                                Apple GPU (3-core graphics)                                                 "
Display,Technology,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch                                                     "
,Size,"
                                                5.8 Inches                                                 "
,Resolution,"
                                                1125 x 2436 Pixels (~463 PPI)                                                 "
,Protection,"
                                                Scratch-resistant glass                                                 "
,Extra Features,"
                                                Dolby Vision/HDR10 compliant, Wide color gamut display, 3D Touch display, True-tone display                                                 "
Memory,Built-in,"64GB Built-in, 3GB RAM                                                     "
,Card,"
                                                No                                                 "
Camera,Main,"Dual 12 MP, autofocus, Quad-LED (dual tone) flash                                                     "
,Features,"
                                                f/1.8 & f/2.4, phase detection, OIS, 2x optical zoom, Geo-tagging, simultaneous 4K video and 8MP image recording, touch focus, face/smile detection, HDR (photo/panorama), Video (2160p@24/30/60fps, 1080p@30/60/120/240fps)                                                 "
,Front,"
                                                7 MP, f/2.2, 1080p@30fps, 720p@240fps, face detection, HDR, panorama                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE                                                 "
,GPS,"
                                                Yes +  A-GPS support, & GLONASS, BDS, GALILEO                                                 "
,USB,"
                                                v3.0, reversible connector                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS, Edge, 3G HSPA, 4G LTE-A, EV-DO Rev.A 3.1 Mbps                                                 "
Features,Sensors,"Accelerometer, Face ID, Barometer, Compass, Gyro, Proximity                                                     "
,Audio,"
                                                Lightning to 3.5 mm headphone jack adapter, MP3/WAV/AAX+/AIFF/Apple Lossless player, MP4/H.264 player, Speaker Phone with stereo speakers                                                 "
,Browser,"
                                                HTML5 (Safari)                                                 "
,Messaging,"
                                                iMessage, SMS (threaded view), MMS, Email, Push Email                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Active noise cancellation with dedicated mic, IP67 certified - dust and water resistant, Siri natural language commands and dictation, Water resistant up to 1 meter and 30 minutes, iCloud service, Apple Pay (Visa, MasterCard, AMEX certified), Google Maps, Audio/video/photo editor, Apple Pay + Visa, MasterCard, AMEX certified), Waterproof, Voice memo/command/dial, Document editor                                                 "
Battery,Capacity,2716 mAh (Li-Ion Non removable)                                                     
,Talktime,"
                                                up to 21 hrs                                                 "
,Musicplay,"
                                                up to 60 hrs                                                 "
,,"
                                                 - Fast battery charging: 50% in 30 min, Qi wireless charging
                                                 "
